# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1e-09	2.9878156e-09	4.8533044e-10	0.9325028	800000	0.0029999998
1.0050225792372646e-09	-2.3811524e-09	5.338635e-09	0.932675	804945.94	0.0029983365
1.0100111660282573e-09	-4.4438067e-09	-2.4266522e-09	0.93339986	809780.6	0.0029966852
1.0150245131577679e-09	4.8533044e-09	-4.8533044e-09	0.93464524	814484.6	0.0029950258
1.0200118554426754e-09	3.7309777e-09	3.397313e-09	0.93666756	818936.44	0.0029933758
1.0250246964421002e-09	-2.1688205e-09	2.4266522e-09	0.9395387	823111.44	0.002991718
1.0300117496349195e-09	-4.9594706e-09	-3.8826435e-09	0.9427852	826901.6	0.0029900707
1.0350237544816767e-09	1.8806554e-09	-5.338635e-09	0.9459661	830285.25	0.0029884165
1.0400098081783316e-09	6.377545e-09	4.8533044e-09	0.9487712	833175.5	0.0029867725
1.0450211121331722e-09	-6.506461e-09	6.794626e-09	0.95068616	835555.9	0.0029851224
1.0500068001388166e-09	-3.89781e-09	-6.794626e-09	0.9513162	837365.3	0.0029834835
1.0550180556357124e-09	1.00402735e-08	9.706609e-10	0.9509734	838593.5	0.0029818378
1.0600043370283075e-09	-9.706609e-10	1.11626e-08	0.9497181	839208.7	0.0029802036
1.0650169306707664e-09	-1.1405265e-08	-1.9413218e-09	0.94790506	839207.4	0.0029785645
1.0700041377135999e-09	6.6732935e-09	-1.0191939e-08	0.94627106	838589.44	0.0029769368
1.0750171743614526e-09	8.220284e-09	9.221278e-09	0.94508034	837357.94	0.002975304
1.0800043537018162e-09	-1.0419438e-08	5.338635e-09	0.94454294	835545.3	0.0029736836
1.0850163624124937e-09	-5.3083016e-10	-9.221278e-09	0.9448026	833161.7	0.0029720592
1.090002340496532e-09	7.568121e-09	1.9413218e-09	0.9456215	830269	0.0029704482
1.095013699910911e-09	-4.1632253e-09	8.250617e-09	0.9464633	826883.3	0.002968833
1.1000249339144816e-09	-4.7774713e-09	-4.8533044e-09	0.94707596	823071.8	0.002967223
1.1050110531116537e-09	5.899798e-09	-6.3092958e-09	0.94706255	818916.6	0.0029656265
1.1100236756617798e-09	4.9139706e-09	6.3092958e-09	0.9459923	814440.5	0.0029640265
1.115011357093598e-09	-5.217302e-09	4.367974e-09	0.94404227	809759.25	0.0029624407
1.1200251177918098e-09	-4.8836375e-09	-2.9119827e-09	0.9413104	804899.3	0.0029608523
1.1250138601300754e-09	4.549973e-10	-1.4559913e-09	0.93798494	799986.3	0.0029592777
1.1300022607744912e-09	7.2799566e-10	0	0.9345236	795073.9	0.00295771
1.1350161621777105e-09	3.2153142e-09	2.9119827e-09	0.93132055	790214.56	0.0029561403
1.1400043990604539e-09	-2.608651e-09	1.9413218e-09	0.9285867	785533.9	0.0029545864
1.1450180186667676e-09	1.4559913e-09	-1.9413218e-09	0.92644703	781058.25	0.002953031
1.1500062241940464e-09	2.3053195e-09	9.706609e-10	0.925131	776903.25	0.0029514914
1.155020534540571e-09	-5.0049703e-10	2.4266522e-09	0.92444384	773092.1	0.0029499512
1.1600096332164707e-09	-2.3280695e-09	4.367974e-09	0.9241525	769723.56	0.002948427
1.1650245533085624e-09	-3.4579795e-09	-3.8826435e-09	0.924224	766816.8	0.002946903
1.1700142341725157e-09	7.3709563e-09	-2.4266522e-09	0.924395	764446.9	0.0029453947
1.1750036243912615e-09	9.934108e-10	6.794626e-09	0.92439175	762635.75	0.0029438953
1.1800183547941506e-09	-4.3224744e-09	-9.706609e-10	0.9241786	761406.4	0.0029423975
1.1850075745019755e-09	-1.501491e-09	-2.4266522e-09	0.92378587	760791.06	0.0029409155
1.1900223800787232e-09	2.6238176e-09	-9.706609e-10	0.92318654	760792.9	0.0029394366
1.1950117328180778e-09	2.1991535e-09	1.9413218e-09	0.92247325	761412	0.0029379737
1.2000014298769982e-09	-5.4296345e-09	-4.8533044e-10	0.9219667	762637.2	0.0029365204
1.205016721578952e-09	4.307308e-09	-5.338635e-09	0.9218452	764460	0.00293507
1.210006359823591e-09	3.0333152e-09	4.8533044e-09	0.92219126	766833.06	0.0029336377
1.2150213065194513e-09	-1.5166576e-09	0	0.92328155	769743	0.0029322084
1.2200104411892215e-09	2.1915703e-09	-9.706609e-10	0.92519635	773114.3	0.0029307965
1.2250248597320064e-09	-1.8351557e-09	2.9119827e-09	0.92782295	776928.1	0.002929389
1.2300134010086556e-09	-3.9129766e-09	1.9413218e-09	0.9310197	781085.44	0.002928
1.2350019270797723e-09	-2.79065e-09	-5.8239653e-09	0.9346291	785539.6	0.0029266218
1.2400158919047398e-09	4.580306e-09	-2.9119827e-09	0.938311	790245.25	0.0029252488
1.2450040545537393e-09	4.4134736e-09	1.0191939e-08	0.94162256	795080.2	0.0029238942
1.2500161887366673e-09	-1.21029275e-08	-1.4559913e-09	0.9444114	799993.2	0.0029225454
1.255007402520358e-09	5.00497e-09	-7.2799566e-09	0.9462385	797891	0.002921214
1.2600208101236724e-09	5.7329657e-09	6.794626e-09	0.9465183	795813.06	0.0029198895
1.2650082263136753e-09	-5.717799e-09	9.706609e-10	0.945562	793811.56	0.0029185845
1.2700215873336145e-09	-6.0666305e-10	-4.8533044e-09	0.9433404	791897.5	0.002917286
1.2750099287041143e-09	6.4306285e-09	0	0.9400084	790120.7	0.002916007
1.2800242622081541e-09	6.6732936e-10	8.250617e-09	0.9363541	788490.75	0.002914734
1.285013541518985e-09	-1.010094e-08	-2.9119827e-09	0.93320733	787050.2	0.0029134809
1.2900030007224101e-09	6.976625e-09	-9.706609e-09	0.9308435	785812.94	0.0029122415
1.295017602658168e-09	6.2031296e-09	9.706609e-09	0.92957973	784793.9	0.0029110096
1.3000059953696864e-09	-1.1177767e-08	-4.8533044e-10	0.9299882	784019.6	0.0029097984
1.3050198559735901e-09	3.791644e-11	-1.2133261e-08	0.9316615	783494	0.0029085954
