# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)
1e-09	-3.7964742e-10	6.074359e-09	0.7680944	800000
1.0025069274732152e-09	-1.5185897e-09	3.0371794e-09	0.76825386	809894.44
1.0050252379709858e-09	-3.6066505e-09	9.111538e-09	0.7691594	819794.3
1.007507800885075e-09	-4.0337538e-09	-3.0371794e-09	0.7709612	829476.2
1.0100146025628305e-09	2.8473557e-10	-6.074359e-09	0.77349114	839135.94
1.012521391061732e-09	4.2710333e-09	-3.0371794e-09	0.77696705	848640.5
1.015002376070593e-09	5.33286e-09	6.074359e-09	0.7815615	857857.3
1.0175087147117454e-09	4.8167768e-09	3.0371794e-09	0.78776306	866939.8
1.0200148924145155e-09	3.5117387e-09	0	0.7959295	875756.25
1.022520784609524e-09	-8.542067e-09	3.0371794e-09	0.80601645	884271.3
1.02500106050074e-09	-9.20645e-09	-4.555769e-09	0.81732535	892370.44
1.0275065669009522e-09	1.1389423e-09	-9.111538e-09	0.8297153	900187.44
1.0300115685676998e-09	4.2710333e-09	-4.555769e-09	0.8433214	907605.8
1.0325160628408878e-09	-9.4911856e-11	3.0371794e-09	0.858026	914596.56
1.0350198368903405e-09	-3.6066505e-09	1.5185897e-09	0.87323195	921131.5
1.0375230755574766e-09	-2.9422675e-09	-1.5185897e-09	0.888055	927185.75
1.0400012231193897e-09	3.6066505e-09	1.5185897e-09	0.90169317	932683.75
1.0425073669007728e-09	4.8405044e-09	-1.5185897e-09	0.9138353	937720.44
1.045016046665545e-09	5.931991e-09	7.5929485e-09	0.92393523	942215.25
1.0475172822264102e-09	8.6607066e-10	6.8336536e-09	0.93169177	946134
1.0500168524082707e-09	-5.18456e-09	6.074359e-09	0.93643385	949473.44
1.0525175660910798e-09	-4.460857e-09	-2.2778845e-09	0.9376788	952224.3
1.0550203552341643e-09	7.5929485e-10	-3.0371794e-09	0.9355686	954375.6
1.0575223644529186e-09	2.2778845e-09	-1.5185897e-09	0.93078023	955916
1.0600247866857506e-09	7.5929485e-10	-7.5929485e-10	0.92377526	956840.1
1.0625054129183713e-09	1.328766e-09	0	0.9147994	957144.06
1.065013434767166e-09	3.227003e-09	7.5929485e-10	0.9042889	956830.7
1.0675183693274586e-09	3.7015624e-09	4.555769e-09	0.8932325	955895.75
1.0700212912929079e-09	-1.1389423e-09	6.074359e-09	0.8825664	954344.75
1.072500177910817e-09	-3.986298e-09	4.555769e-09	0.8730778	952207
1.0750033585225954e-09	-3.5117387e-09	-9.111538e-09	0.86497	949448.75
1.077505012221012e-09	5.315064e-09	-3.0371794e-09	0.8584482	946101.6
1.0800085955283557e-09	8.921714e-09	4.555769e-09	0.85369396	942173.6
1.082512997020951e-09	6.501462e-09	9.111538e-09	0.85122824	937681.6
1.0850175190756575e-09	2.7998996e-09	1.6704487e-08	0.85110354	932644.06
1.0875235422676656e-09	-6.4065504e-09	7.5929485e-09	0.8528339	927077.5
1.0900040402470472e-09	-5.6947114e-09	-3.0371794e-09	0.85583496	921071.5
1.0925088504217281e-09	-8.2454676e-10	-7.5929485e-09	0.8599692	914529.1
1.0950135488724842e-09	5.937923e-09	3.0371794e-09	0.8649606	907533.44
1.097518364588708e-09	4.7188986e-09	6.074359e-09	0.87035656	900111.5
1.1000227544814294e-09	2.2541566e-09	0	0.8755988	892294.3
1.1025024170322208e-09	-2.3490685e-09	6.074359e-09	0.8799118	884193.8
1.1050088865546361e-09	-2.728716e-09	1.5185897e-09	0.88282436	875674.06
1.1075151605285426e-09	-4.7930486e-09	1.5185897e-09	0.8840294	866854.44
1.1100210262798103e-09	-2.9897234e-09	3.0371794e-09	0.8834769	857771.3
1.11250143072009e-09	-3.891386e-09	0	0.880914	848554.8
1.115007761304465e-09	-1.5185897e-09	-6.074359e-09	0.87581396	839050.44
1.1175141280484667e-09	1.02504805e-08	-4.555769e-09	0.86800134	829391.06
1.1200206897270054e-09	1.1199599e-08	6.074359e-09	0.8575588	819614.4
1.1225019905724733e-09	3.0371794e-09	1.0630128e-08	0.8448567	809859.4
1.1250087113151101e-09	-7.0234774e-09	1.3667307e-08	0.82980937	799965.6
1.127515673652864e-09	-1.2148718e-08	1.5185897e-09	0.8126801	790071.06
1.1300231985042144e-09	-9.870833e-09	-1.5185897e-09	0.79356396	780213.7
1.1325050931363582e-09	-3.7964742e-10	-6.074359e-09	0.7727328	770534.3
1.1350127246843134e-09	5.6947114e-09	-3.0371794e-09	0.75004494	760871.2
1.137520574414846e-09	6.074359e-09	3.0371794e-09	0.7262372	751362.56
1.1400029064766266e-09	-3.7964742e-10	1.2148718e-08	0.7020826	742140.75
1.1425113666348902e-09	-1.8982371e-09	3.0371794e-09	0.6773598	733050.6
1.1450203475329667e-09	6.8336536e-09	0	0.6525248	724224.94
1.1475041975879572e-09	7.5929485e-09	0	0.62815696	715783.94
1.1500138888356872e-09	3.7964742e-09	-9.111538e-09	0.60414726	707588.7
1.1525238769613733e-09	-7.5929485e-10	3.0371794e-09	0.58125025	699759.94
1.1550089731423947e-09	-7.5929485e-09	3.0371794e-09	0.560297	692401.6
1.1575200711445209e-09	-9.111538e-09	0	0.5413801	685392.6
1.1600061159106261e-09	1.1389423e-09	-9.111538e-09	0.5250632	678903.06
1.16251821428761e-09	2.2778845e-09	-1.2148718e-08	0.51106936	672825.5
1.1650050038246902e-09	1.176907e-08	-1.5185897e-08	0.49992573	667308.3
1.1675178119119249e-09	1.9362018e-08	-1.5185897e-08	0.4917066	662259.75
1.170005083133004e-09	2.1639902e-08	0	0.48676884	657803.2
1.1725182741216757e-09	1.6514663e-08	0	0.48511854	653864.6
1.1750057132062008e-09	9.111538e-09	0	0.48675838	650540.06
1.1775187473685977e-09	-8.542067e-10	6.074359e-09	0.49140406	647774.5
1.1800059692236198e-09	2.2778845e-09	6.074359e-09	0.4985001	645634.94
1.1825190176799724e-09	1.44740575e-08	-6.074359e-09	0.50791574	644085.7
1.18500629760344e-09	1.2789372e-08	-6.074359e-09	0.5193245	643164.44
1.1875188961913175e-09	4.745593e-09	-9.111538e-09	0.5326867	642855.94
1.1900054156335081e-09	5.6947114e-10	3.0371794e-09	0.54729575	643167.4
1.1925172158696996e-09	-5.5997993e-09	-3.0371794e-09	0.5629658	644103.56
1.1950030041523857e-09	-2.3727964e-09	-1.5185897e-08	0.5788615	645641.6
1.197514241317658e-09	1.4236778e-08	-1.8223076e-08	0.5947663	647806.9
1.2000254125098677e-09	2.1829727e-08	-9.111538e-09	0.6101171	650578.06
1.2025110059227661e-09	1.2623277e-08	1.2148718e-08	0.6245892	653907.1
1.2050216782455634e-09	4.6506807e-09	2.4297435e-08	0.63832194	657848.25
1.2075062683487157e-09	-5.220152e-09	1.8223076e-08	0.6507759	662305.5
1.2100163741449544e-09	-2.0216225e-08	9.111538e-09	0.6619162	667353.56
1.2125003553933355e-09	-2.5388921e-08	-6.074359e-09	0.6713006	672868.56
1.2150095972755398e-09	-1.1116551e-08	-1.5185897e-08	0.6790008	678942.6
1.2175184857097904e-09	4.745593e-09	-1.8223076e-08	0.68489325	685496.9
1.2200018750012065e-09	1.02504805e-08	-9.111538e-09	0.689106	692432.9
1.2225107500426182e-09	8.921714e-09	0	0.6919842	699865.25
1.2250193786586593e-09	7.403125e-09	0	0.6936613	707695
1.2275023861738858e-09	3.986298e-09	0	0.6942252	715805.94
1.2300107895117914e-09	5.6947114e-09	0	0.69381404	724332.6
1.232518965938182e-09	1.1009775e-08	-3.0371794e-09	0.6926875	733159.06
1.235001468516514e-09	1.0819951e-08	-3.0371794e-09	0.6912204	742156.8
1.2375094979716351e-09	8.162419e-09	9.111538e-09	0.68979806	751475.56
1.2400176157038081e-09	2.8473557e-10	1.5185897e-08	0.6888708	760987.25
1.242500130305055e-09	-1.8982371e-08	1.5185897e-08	0.6887457	770554.6
1.2450083631284694e-09	-2.3727964e-08	-9.111538e-09	0.6895792	780337.3
1.2475165753845337e-09	-6.548918e-09	-3.0371794e-08	0.69155866	790198.2
1.2500016272147708e-09	1.4758793e-08	-2.4297435e-08	0.6949872	799997.25
1.2525105138498961e-09	2.1639902e-08	-9.111538e-09	0.70005935	795762.25
1.2550193593021116e-09	1.1389423e-08	1.2148718e-08	0.70617634	791544.1
1.257502454944279e-09	-7.901412e-09	1.2148718e-08	0.71316737	787402.4
1.2600114569148466e-09	-6.9522934e-09	0	0.7212411	783267.4
1.2625206633161226e-09	3.321915e-10	-3.0371794e-09	0.72984034	779198.25
1.2650042575356547e-09	1.945693e-09	-6.074359e-09	0.73861647	775252.4
1.2675134489059744e-09	-1.945693e-09	1.2148718e-08	0.7474327	771363.7
1.2700229174957168e-09	-3.986298e-09	1.8223076e-08	0.75551593	767588.25
1.2725067506023374e-09	-1.2647004e-08	6.074359e-09	0.7622205	763978.56
1.275016029572293e-09	-1.7036678e-08	-9.111538e-09	0.7676796	760474.2
1.2775251973913612e-09	-3.7964742e-09	-2.4297435e-08	0.772063	757127.2
1.2800088323392713e-09	1.7226501e-08	-1.2148718e-08	0.77496797	753982
1.2825180383791307e-09	2.1450079e-08	6.074359e-09	0.7760445	750986.56
1.285001640964184e-09	1.5090984e-08	6.074359e-09	0.7751254	748213.44
1.2875110399382234e-09	3.7964742e-10	2.1260256e-08	0.77213174	745616.6
1.290020285991122e-09	-1.5755369e-08	2.4297435e-08	0.7670077	743236
1.292503783552233e-09	-2.3158492e-08	6.074359e-09	0.7599703	741102
1.2950125569694215e-09	-1.537572e-08	-1.2148718e-08	0.7513871	739179.25
1.297521204685894e-09	9.491186e-10	-1.8223076e-08	0.7414536	737498.4
1.300004154841305e-09	-2.657532e-09	-6.074359e-09	0.7300939	736079.2
1.3025123737434262e-09	-7.213301e-09	0	0.7171495	734898.2
1.3050205884700904e-09	0	-3.0371794e-09	0.7032097	733975.8
1.3075033960279266e-09	1.1389423e-09	-3.0371794e-09	0.6889267	733321.1
1.3100114416988808e-09	3.7964742e-09	-9.111538e-09	0.6743056	732923.3
1.3125195545094613e-09	1.1009775e-08	-9.111538e-09	0.6600001	732791.9
1.3150025392629745e-09	8.731891e-09	6.074359e-09	0.6465448	732924.8
1.317511577760548e-09	-7.5929485e-10	1.5185897e-08	0.6336496	733324.3
1.320020675430287e-09	-5.315064e-09	3.0371794e-09	0.6215849	733988.8
1.3225040926255568e-09	-7.213301e-09	9.111538e-09	0.611104	734905.06
1.3250133350902889e-09	-1.4046955e-08	0	0.602616	736088.25
1.3275228220484023e-09	-8.731891e-09	-6.074359e-09	0.59633225	737525.7
1.3300066917104306e-09	1.7084134e-09	-9.111538e-09	0.59236735	739193.2
1.3325162791692295e-09	7.5929485e-10	-1.5185897e-08	0.59080905	741118.4
1.3350000366590601e-09	2.7524438e-09	-1.5185897e-08	0.59155947	743254.3
1.3375092709638295e-09	6.074359e-09	0	0.5945701	745636.7
1.3400184818155214e-09	4.8405044e-09	0	0.6001806	748235.2
1.3425018715199497e-09	7.2370288e-09	9.111538e-09	0.60845625	751009.56
1.3450105945488687e-09	1.8982371e-09	3.0371794e-09	0.61909634	754005.94
1.3475192981400553e-09	-9.586097e-09	-3.0371794e-09	0.63156056	757185.06
1.3500024224747407e-09	-4.8405044e-09	0	0.64554846	760499.4
1.3525108200609318e-09	2.657532e-09	-3.0371794e-09	0.66109	764003.56
1.3550189844552878e-09	-6.2641825e-09	-6.074359e-09	0.67777514	767650.4
1.3575017944595654e-09	-8.162419e-09	-6.074359e-09	0.69528633	771386.9
1.3600100628697768e-09	2.4677083e-09	-1.2148718e-08	0.7136897	775274.9
1.3625181807023805e-09	1.1389423e-09	-3.0371794e-09	0.7321315	779260.75
1.3650005297649573e-09	-2.4677083e-09	-9.111538e-09	0.74989116	783286.94
1.3675083961267992e-09	6.8336536e-09	-1.2148718e-08	0.7672237	787420.3
1.3700157021222868e-09	1.176907e-08	9.111538e-09	0.7837768	791602.9
1.3725230427515727e-09	5.789623e-09	1.2148718e-08	0.79923993	795818.9
1.3750043344090168e-09	-8.0675076e-09	1.0630128e-08	0.8131382	800007.3
1.3775111717372987e-09	-2.0690784e-08	1.3667307e-08	0.82549465	804238.9
1.3800180563961176e-09	-2.0548416e-08	-6.074359e-09	0.83581185	808453.7
1.3825247464919913e-09	-6.454006e-09	-2.2778845e-08	0.8438585	812634.6
1.3850057749875204e-09	1.4571936e-08	-2.1260256e-08	0.8497358	816723.44
1.3875128936267746e-09	2.2422926e-08	-1.5185897e-09	0.85370964	820789.1
1.3900202914397506e-09	1.4901161e-08	1.3667307e-08	0.85563445	824772.8
1.3925022016774176e-09	8.162419e-09	1.8223076e-08	0.8553764	828619.2
1.3950095121596826e-09	-3.4168268e-09	2.2778845e-08	0.85308254	832391.8
1.3975165031756939e-09	-1.9741666e-08	1.9741666e-08	0.8491104	836035.4
1.4000231690773364e-09	-2.1165343e-08	-1.0630128e-08	0.84376585	839535.56
1.402503987953412e-09	-8.731891e-09	-2.1260256e-08	0.83749795	842845.25
1.4050107846850046e-09	2.8473557e-09	-1.6704487e-08	0.83054173	846020.3
1.4075178233715314e-09	1.1389423e-08	-1.2148718e-08	0.82320243	849013.2
1.4100248053088821e-09	1.6704487e-08	4.555769e-09	0.8156695	851811.44
1.4125057244057092e-09	1.7843428e-08	1.3667307e-08	0.8084755	854378.1
1.4150116567795592e-09	5.6947114e-10	2.4297435e-08	0.8020695	856756.25
1.4175174513616186e-09	-6.359094e-09	1.8223076e-08	0.7967893	858909.1
1.4200231657140727e-09	-1.2338541e-08	1.2148718e-08	0.7926972	860828.3
1.42250344389053e-09	-2.4487258e-08	1.5185897e-09	0.7899418	862490.6
1.4250096719142616e-09	-1.9362018e-08	-2.1260256e-08	0.7886608	863923.7
1.4275161134992696e-09	4.3659454e-09	-2.4297435e-08	0.78900003	865103.4
1.430022401677357e-09	1.7985796e-08	-9.111538e-09	0.7910803	866024.75
1.4325031615570378e-09	1.9504386e-08	3.0371794e-09	0.7948631	866678.8
1.4350092416101825e-09	1.5696047e-08	1.3667307e-08	0.8001121	867076.5
1.4375154127821629e-09	1.8151892e-09	2.2778845e-08	0.80647975	867208.1
